Reaction identifier	Equation	Enzyme class	Enzymes
RHEA:29035	L-glutamate(out) + ATP + H2O = L-glutamate(in) + ADP + phosphate + H(+)		4
RHEA:29039	L-aspartate(out) + ATP + H2O = L-aspartate(in) + ADP + phosphate + H(+)		2
RHEA:29047	H2 + a menaquinone + 2 H(+)(in) = a menaquinol + 2 H(+)(out)		0
RHEA:29051	menaquinone-8 + H2 + 2 H(+)(in) = menaquinol-8 + 2 H(+)(out)		0
RHEA:29055	H2 + a ubiquinone + 2 H(+)(in) = a ubiquinol + 2 H(+)(out)		0
RHEA:29059	ubiquinone-8 + H2 + 2 H(+)(in) = ubiquinol-8 + 2 H(+)(out)		0
RHEA:29075	ubiquinone-8 + formate(out) + 2 H(+)(in) = ubiquinol-8 + CO2(out) + H(+)(out)		0
RHEA:29091	a ubiquinone + NADH + 5 H(+)(in) = a ubiquinol + NAD(+) + 4 H(+)(out)	EC:7.1.1.2 NADH:ubiquinone reductase (H(+)-translocating)	378126
RHEA:29095	ubiquinone-8 + NADH + 5 H(+)(in) = ubiquinol-8 + NAD(+) + 4 H(+)(out)		0
RHEA:29099	a menaquinone + NADH + 5 H(+)(in) = a menaquinol + NAD(+) + 4 H(+)(out)		0
RHEA:29103	menaquinone-8 + NADH + 5 H(+)(in) = menaquinol-8 + NAD(+) + 4 H(+)(out)		0
RHEA:29123	ubiquinol-8(in) + nitrate(out) = ubiquinone-8(in) + nitrite(out) + H2O(out)		0
RHEA:29135	a menaquinol + nitrate + 2 H(+)(in) = a menaquinone + nitrite + H2O + 2 H(+)(out)		0
RHEA:29139	menaquinol-8 + nitrate + 2 H(+)(in) = menaquinone-8 + nitrite + H2O + 2 H(+)(out)		0
RHEA:29143	a ubiquinol + nitrate + 2 H(+)(in) = a ubiquinone + nitrite + H2O + 2 H(+)(out)		0
RHEA:29147	ubiquinol-8 + nitrate + 2 H(+)(in) = ubiquinone-8 + nitrite + H2O + 2 H(+)(out)		0
RHEA:29151	3 a ubiquinol(in) + nitrite(out) + 2 H(+)(out) = 3 a ubiquinone(in) + NH4(+)(out) + 2 H2O(out)		0
RHEA:29155	3 ubiquinol-8(in) + nitrite(out) + 2 H(+)(out) = 3 ubiquinone-8(in) + NH4(+)(out) + 2 H2O(out)		0
RHEA:29159	3 a menaquinol(in) + nitrite(out) + 2 H(+)(out) = 3 a menaquinone(in) + NH4(+)(out) + 2 H2O(out)		0
RHEA:29163	3 menaquinol-8(in) + nitrite(out) + 2 H(+)(out) = 3 menaquinone-8(in) + NH4(+)(out) + 2 H2O(out)		0
RHEA:29207	dimethyl sulfoxide(out) + a menaquinol(in) = dimethyl sulfide(out) + a menaquinone(in) + H2O(out)		0
RHEA:29211	inosine(in) + H(+)(out) = inosine(out) + H(+)(in)		886
RHEA:29227	indole(in) + H(+)(in) = indole(out) + H(+)(out)		0
RHEA:29231	cyanate(in) = cyanate(out)		0
RHEA:29239	uracil(in) + H(+)(in) = uracil(out) + H(+)(out)		4
RHEA:29247	2 Na(+)(in) + 3 H(+)(out) = 2 Na(+)(out) + 3 H(+)(in)		3091
RHEA:29251	Na(+)(in) + 2 H(+)(out) = Na(+)(out) + 2 H(+)(in)		19805
RHEA:29255	Ca(2+)(in) + Na(+)(out) = Ca(2+)(out) + Na(+)(in)		0
RHEA:29259	(2R,3R)-tartrate(out) + succinate(in) = (2R,3R)-tartrate(in) + succinate(out)		9
RHEA:29263	L-leucine(in) + Na(+)(in) = L-leucine(out) + Na(+)(out)		1810
RHEA:29267	L-valine(in) + Na(+)(in) = L-valine(out) + Na(+)(out)		453
RHEA:29275	L-isoleucine(in) + Na(+)(in) = L-isoleucine(out) + Na(+)(out)		453
RHEA:29283	L-alanine(in) + Na(+)(in) = L-alanine(out) + Na(+)(out)		1822
RHEA:29287	L-aspartate(in) + 2 H(+)(in) = L-aspartate(out) + 2 H(+)(out)		1
RHEA:29295	aldehydo-D-galacturonate(out) + H(+)(out) = aldehydo-D-galacturonate(in) + H(+)(in)		1486
RHEA:29303	succinate(in) + 2 H(+)(in) = succinate(out) + 2 H(+)(out)		970
RHEA:29323	fumarate(in) + succinate(out) = fumarate(out) + succinate(in)		4660
RHEA:29327	(S)-malate(in) + succinate(out) = (S)-malate(out) + succinate(in)		5402
RHEA:29331	fumarate(in) + 2 H(+)(in) = fumarate(out) + 2 H(+)(out)		1
RHEA:29339	(S)-malate(in) + 2 H(+)(in) = (S)-malate(out) + 2 H(+)(out)		1
RHEA:29343	L-aspartate(in) + succinate(out) = L-aspartate(out) + succinate(in)		4655
RHEA:29347	orotate(in) + 2 H(+)(in) = orotate(out) + 2 H(+)(out)		0
RHEA:29351	Zn(2+)(in) = Zn(2+)(out)		15343
RHEA:29411	glycolate(in) + H(+)(in) = glycolate(out) + H(+)(out)		1529
